Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Ford,Mustang Mach-E ER AWD (MY21),430 km,401 km,88.0 kWh,2257 kg,5.8 sec,205 Wh/km,5,D,86 kW,750 kg,619 L,€154 /km,"€63,700"
Volkswagen,ID.3 Pro Performance,350 km,375 km,58.0 kWh,1805 kg,7.3 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€104 /km,"€36,495"
Volvo,C40 Recharge Single Motor (MY24),355 km,368 km,66.0 kWh,2065 kg,7.3 sec,186 Wh/km,5,C,85 kW,1500 kg,450 L,€145 /km,"€47,500"
Mercedes-Benz,EQS 500 4MATIC,590 km,654 km,108.4 kWh,2630 kg,4.8 sec,184 Wh/km,5,F,173 kW,750 kg,620 L,€229 /km,"€125,378"
Volvo,ES90 Single Motor (MY26),485 km,580 km,88.0 kWh,2441 kg,6.6 sec,181 Wh/km,5,F,170 kW,1600 kg,468 L,€152 /km,"€71,990"
Porsche,Taycan 4S Plus,460 km,587 km,83.7 kWh,2295 kg,4.0 sec,182 Wh/km,5,F,216 kW,0 kg,491 L,€245 /km,"€114,389"
Fiat,500e 3+1 42 kWh,235 km,258 km,37.3 kWh,1400 kg,9.0 sec,159 Wh/km,4,B,67 kW,0 kg,185 L,€152 /km,"€36,990"
Citroën,ë-Berlingo M 50 kWh,205 km,221 km,46.3 kWh,1739 kg,11.7 sec,226 Wh/km,5,N,78 kW,750 kg,571 L,€190 /km,"€37,790"
Volkswagen,ID.4 Pure (MY26),285 km,318 km,52.0 kWh,1975 kg,9.0 sec,182 Wh/km,5,C,87 kW,1000 kg,543 L,€142 /km,"€40,335"
Volkswagen,ID.3 Pro S - 4 Seats,450 km,488 km,77.0 kWh,1935 kg,7.9 sec,171 Wh/km,4,C,115 kW,0 kg,385 L,€123 /km,"€56,500"
Polestar,2 Long Range Dual Motor (MY25),455 km,514 km,79.0 kWh,2183 kg,4.5 sec,174 Wh/km,5,D,125 kW,1500 kg,448 L,€127 /km,"€56,990"
Voyah,Courage 80 kWh AWD,390 km,427 km,77.3 kWh,2302 kg,4.9 sec,198 Wh/km,5,D,110 kW,1700 kg,527 L,€128 /km,N/A
XPENG,G9 RWD Standard Range (MY25),410 km,528 km,78.2 kWh,2285 kg,6.6 sec,191 Wh/km,5,E,280 kW,1500 kg,731 L,€145 /km,"€59,600"
Nissan,e-NV200 Evalia,105 km,112 km,22.0 kWh,1614 kg,14.0 sec,210 Wh/km,7,N,36 kW,unknown,2000 L,€332 /km,"€37,602"
Zeekr,X Privilege AWD,350 km,394 km,65.0 kWh,2035 kg,3.8 sec,186 Wh/km,5,B,114 kW,1600 kg,362 L,€139 /km,N/A
Audi,Q4 e-tron 45 quattro,395 km,437 km,77.0 kWh,2235 kg,6.6 sec,195 Wh/km,5,C,120 kW,1200 kg,520 L,€142 /km,"€54,950"
GWM,ORA 07 Pure,350 km,339 km,64.3 kWh,2065 kg,8.2 sec,184 Wh/km,5,D,75 kW,0 kg,333 L,€120 /km,"€41,990"
Audi,e-tron 50 quattro,280 km,299 km,64.7 kWh,2445 kg,6.8 sec,231 Wh/km,5,E,114 kW,1800 kg,660 L,€251 /km,"€69,100"
Fisker,Ocean Extreme,490 km,528 km,106.5 kWh,2526 kg,3.9 sec,217 Wh/km,5,D,135 kW,1820 kg,476 L,€132 /km,"€63,590"
NIO,ET5 Standard Range,410 km,447 km,73.5 kWh,2215 kg,4.0 sec,179 Wh/km,5,E,110 kW,1400 kg,386 L,€149 /km,"€59,500"
Citroën,ë-C4 X 54 kWh,330 km,355 km,50.8 kWh,1659 kg,9.3 sec,154 Wh/km,5,C,78 kW,0 kg,510 L,€119 /km,"€36,325"
Volkswagen,ID.7 Tourer Pro S (MY24-25),520 km,589 km,86.0 kWh,2235 kg,6.7 sec,165 Wh/km,5,E,145 kW,1000 kg,605 L,€117 /km,"€59,785"
Mercedes-Benz,EQA 350 4MATIC,350 km,359 km,66.5 kWh,2110 kg,6.0 sec,190 Wh/km,5,C,100 kW,1800 kg,340 L,€178 /km,"€56,424"
Lucid,Air Pure RWD (MY24-25),530 km,615 km,84.0 kWh,2145 kg,4.7 sec,158 Wh/km,5,F,140 kW,0 kg,910 L,€163 /km,"€85,000"
Smart,#5 Pro (MY25),370 km,395 km,74.4 kWh,2275 kg,6.9 sec,201 Wh/km,5,D,110 kW,1600 kg,702 L,€126 /km,"€45,900"
Ford,Mustang Mach-E ER RWD (MY25),475 km,482 km,88.0 kWh,2161 kg,6.1 sec,185 Wh/km,5,D,105 kW,1500 kg,619 L,€128 /km,"€59,200"
Peugeot,e-208 50 kWh (MY25),295 km,321 km,46.3 kWh,1530 kg,9.0 sec,157 Wh/km,5,B,78 kW,0 kg,309 L,€115 /km,"€36,525"
TOGG,T10F Standard Range RWD,295 km,372 km,50.0 kWh,1998 kg,7.2 sec,169 Wh/km,5,D,70 kW,0 kg,505 L,€116 /km,"€34,295"
Volvo,EX90 Twin Motor (MY26),480 km,567 km,102.0 kWh,2725 kg,5.5 sec,213 Wh/km,7,F,200 kW,2200 kg,703 L,€199 /km,"€96,190"
Kia,e-Soul 64 kWh,370 km,343 km,64.0 kWh,1757 kg,7.9 sec,173 Wh/km,5,B,64 kW,0 kg,315 L,€113 /km,"€36,837"
Porsche,Taycan GTS,450 km,578 km,83.7 kWh,2370 kg,3.7 sec,186 Wh/km,5,F,216 kW,0 kg,491 L,€306 /km,"€139,906"
Kia,e-Soul 64 kWh,370 km,343 km,64.0 kWh,1757 kg,7.9 sec,173 Wh/km,5,B,64 kW,0 kg,315 L,€122 /km,"€47,450"
Volkswagen,ID.5 Pro Performance,430 km,454 km,77.0 kWh,2118 kg,8.4 sec,179 Wh/km,5,C,125 kW,1000 kg,549 L,€128 /km,"€48,970"
Ford,Explorer Extended Range RWD,450 km,500 km,79.0 kWh,2080 kg,8.5 sec,176 Wh/km,5,C,135 kW,1200 kg,536 L,€103 /km,"€48,500"
Volvo,EC40 Single Motor ER (MY26),420 km,459 km,79.0 kWh,2095 kg,7.3 sec,188 Wh/km,5,C,125 kW,1500 kg,435 L,€135 /km,"€57,190"
Audi,SQ6 SUV e-tron,470 km,559 km,94.9 kWh,2425 kg,4.3 sec,202 Wh/km,5,D,200 kW,2400 kg,578 L,€214 /km,"€93,800"
Toyota,Urban Cruiser 48.8 kWh,270 km,248 km,47.8 kWh,1775 kg,9.6 sec,177 Wh/km,5,B,45 kW,750 kg,244 L,€117 /km,"€29,990"
Suzuki,e VITARA 49 kWh 2WD,270 km,248 km,47.8 kWh,1775 kg,9.6 sec,177 Wh/km,5,B,45 kW,750 kg,238 L,€123 /km,N/A
Audi,Q4 Sportback e-tron 50 quattro,400 km,442 km,76.6 kWh,2215 kg,6.2 sec,192 Wh/km,5,C,115 kW,1200 kg,535 L,€167 /km,"€59,900"
Tesla,Model S 60,345 km,370 km,62.0 kWh,2102 kg,5.8 sec,180 Wh/km,5,F,95 kW,unknown,895 L,€221 /km,"€69,019"
Peugeot,e-2008,260 km,285 km,46.3 kWh,1623 kg,8.5 sec,178 Wh/km,5,B,78 kW,0 kg,434 L,€143 /km,"€35,450"
Fiat,500e Cabrio 42 kWh,230 km,251 km,37.3 kWh,1405 kg,9.0 sec,162 Wh/km,4,B,67 kW,0 kg,185 L,€159 /km,"€37,990"
Opel,Corsa Electric 50 kWh (MY24),290 km,318 km,46.3 kWh,1544 kg,8.7 sec,160 Wh/km,5,B,78 kW,0 kg,267 L,€116 /km,"€34,650"
Škoda,Enyaq 85x (MY25),450 km,501 km,77.0 kWh,2230 kg,6.7 sec,171 Wh/km,5,C,120 kW,1200 kg,585 L,€119 /km,"€51,150"
Volvo,ES90 Twin Motor Performance (MY26),530 km,635 km,102.0 kWh,2628 kg,4.0 sec,192 Wh/km,5,F,200 kW,2000 kg,468 L,€180 /km,"€94,490"
Smart,#5 Pulse (MY25),455 km,563 km,94.0 kWh,2420 kg,4.9 sec,207 Wh/km,5,D,230 kW,1600 kg,677 L,€123 /km,"€55,400"
Ford,Mustang Mach-E GT (MY25),435 km,441 km,91.0 kWh,2343 kg,3.8 sec,209 Wh/km,5,D,115 kW,750 kg,619 L,€168 /km,"€78,000"
Tesla,Model S 90D,445 km,443 km,85.5 kWh,2184 kg,4.4 sec,192 Wh/km,5,F,90 kW,unknown,895 L,€222 /km,"€98,000"
Fisker,Ocean One,530 km,567 km,106.5 kWh,2434 kg,3.9 sec,201 Wh/km,5,D,135 kW,1820 kg,476 L,€133 /km,"€69,950"
Lexus,RZ 350e (MY26),400 km,433 km,72.0 kWh,2005 kg,7.5 sec,180 Wh/km,5,D,110 kW,750 kg,522 L,€144 /km,"€57,100"
Nissan,Townstar EV Passenger,225 km,221 km,45.0 kWh,1872 kg,12.6 sec,200 Wh/km,5,N,50 kW,1500 kg,819 L,€178 /km,"€39,990"
Volvo,EX40 Twin Motor (MY25),385 km,419 km,79.0 kWh,2170 kg,4.8 sec,205 Wh/km,5,C,125 kW,1800 kg,441 L,€164 /km,"€59,590"
Lucid,Air Pure RWD (MY26),580 km,668 km,88.0 kWh,2145 kg,4.7 sec,152 Wh/km,5,F,150 kW,0 kg,910 L,€151 /km,"€85,900"
Porsche,Macan Turbo Electric (MY26),460 km,544 km,95.0 kWh,2480 kg,3.3 sec,207 Wh/km,5,D,200 kW,2500 kg,564 L,€253 /km,"€115,500"
Audi,Q8 SUV e-tron 50 quattro,425 km,443 km,89.0 kWh,2585 kg,6.0 sec,209 Wh/km,5,E,146 kW,1800 kg,631 L,€179 /km,"€75,900"
Audi,Q4 Sportback e-tron 40,340 km,395 km,59.0 kWh,2035 kg,8.1 sec,174 Wh/km,5,C,110 kW,1000 kg,520 L,€148 /km,"€48,150"
Cadillac,OPTIQ 500 E4 (MY26),365 km,359 km,75.0 kWh,2376 kg,6.7 sec,205 Wh/km,5,D,90 kW,680 kg,443 L,€178 /km,"€65,000"
Mercedes-Benz,EQS 350,540 km,601 km,90.6 kWh,2390 kg,6.6 sec,168 Wh/km,5,F,141 kW,750 kg,610 L,€175 /km,"€97,806"
Mercedes-Benz,EQE 300 (MY22-23),515 km,556 km,89.0 kWh,2385 kg,7.3 sec,173 Wh/km,5,E,120 kW,750 kg,430 L,€144 /km,"€66,402"
Škoda,Enyaq Coupe 85 (MY24),460 km,484 km,77.0 kWh,2140 kg,6.7 sec,167 Wh/km,5,C,120 kW,1000 kg,570 L,€114 /km,"€51,150"
Mercedes-Benz,EQS 350,570 km,614 km,96.0 kWh,2440 kg,6.7 sec,168 Wh/km,5,F,130 kW,750 kg,620 L,€179 /km,N/A
Alpine,A290 Electric 180 hp,310 km,323 km,52.0 kWh,1554 kg,7.4 sec,168 Wh/km,5,B,70 kW,500 kg,326 L,€123 /km,"€38,700"
Volkswagen,ID.4 Pure Performance,285 km,301 km,52.0 kWh,1965 kg,9.0 sec,182 Wh/km,5,C,70 kW,1000 kg,543 L,€154 /km,"€39,955"
Polestar,2 Standard Range Single Motor (MY24),405 km,426 km,67.0 kWh,2019 kg,6.4 sec,165 Wh/km,5,D,85 kW,1500 kg,446 L,€118 /km,"€46,275"
Renault,Scenic E-Tech EV60 170hp,340 km,354 km,60.0 kWh,1822 kg,8.6 sec,176 Wh/km,5,C,75 kW,1100 kg,545 L,€124 /km,"€41,400"
Škoda,Enyaq RS (MY26),460 km,520 km,79.0 kWh,2236 kg,5.4 sec,172 Wh/km,5,C,135 kW,1800 kg,585 L,€127 /km,"€58,600"
Peugeot,iOn,85 km,101 km,14.5 kWh,1140 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€328 /km,"€29,393"
Volkswagen,ID.3 Pure Performance,275 km,300 km,45.0 kWh,1781 kg,8.9 sec,164 Wh/km,5,C,72 kW,0 kg,385 L,€128 /km,N/A
Peugeot,e-208 51 kWh (MY23),305 km,331 km,48.1 kWh,1530 kg,8.2 sec,158 Wh/km,5,B,80 kW,0 kg,265 L,€133 /km,"€41,850"
Volkswagen,ID.3 Pro S - 5 Seats,450 km,488 km,77.0 kWh,1928 kg,7.9 sec,171 Wh/km,5,C,115 kW,0 kg,385 L,€98 /km,"€43,720"
Mercedes-Benz,EQE SUV 300 (MY23-24),450 km,485 km,90.6 kWh,2440 kg,7.6 sec,201 Wh/km,5,E,141 kW,750 kg,520 L,€186 /km,"€83,479"
SsangYong,Korando e-Motion,290 km,277 km,56.0 kWh,1840 kg,8.5 sec,193 Wh/km,5,C,69 kW,1500 kg,551 L,€137 /km,"€42,490"
Volvo,C40 Recharge Pure Electric (MY23),335 km,358 km,67.0 kWh,2045 kg,7.4 sec,200 Wh/km,5,C,116 kW,1500 kg,450 L,€151 /km,"€48,850"
Škoda,Enyaq Coupe RS (MY24),450 km,493 km,77.0 kWh,2258 kg,5.5 sec,171 Wh/km,5,C,120 kW,1200 kg,570 L,€140 /km,"€63,300"
Ford,Mustang Mach-E GT (MY23.75),425 km,433 km,91.0 kWh,2348 kg,3.7 sec,214 Wh/km,5,D,115 kW,750 kg,619 L,€187 /km,"€77,300"
Audi,e-tron 55 quattro,365 km,384 km,86.5 kWh,2595 kg,5.7 sec,237 Wh/km,5,E,146 kW,1800 kg,660 L,€213 /km,"€79,445"
Peugeot,e-308 SW (MY23-25),300 km,319 km,50.8 kWh,1791 kg,10.0 sec,169 Wh/km,5,C,80 kW,0 kg,608 L,€140 /km,"€43,435"
DS Automobiles,DS 3 E-Tense,300 km,320 km,50.8 kWh,1625 kg,9.0 sec,169 Wh/km,5,B,85 kW,0 kg,350 L,€135 /km,"€40,540"
Toyota,Proace City Verso L2 50 kWh,230 km,242 km,50.0 kWh,1881 kg,11.7 sec,217 Wh/km,7,N,80 kW,750 kg,1050 L,€180 /km,"€42,380"
Škoda,Enyaq Coupe 85x (MY26),460 km,511 km,77.0 kWh,2234 kg,6.7 sec,167 Wh/km,5,C,120 kW,1800 kg,570 L,€117 /km,"€53,750"
Tesla,Model X Performance,430 km,448 km,95.0 kWh,2552 kg,2.9 sec,221 Wh/km,7,F,110 kW,2250 kg,unknown,€250 /km,"€102,990"
Polestar,2 Standard Range Single Motor (MY23),380 km,415 km,67.0 kWh,2013 kg,7.4 sec,176 Wh/km,5,D,116 kW,1500 kg,440 L,€127 /km,"€47,295"
Citroën,ë-Berlingo M 50 kWh,235 km,246 km,50.0 kWh,1811 kg,11.7 sec,213 Wh/km,5,N,80 kW,750 kg,775 L,€160 /km,"€36,940"
Volkswagen,ID.7 GTX (MY24-25),500 km,572 km,86.0 kWh,2325 kg,5.4 sec,172 Wh/km,5,E,145 kW,1200 kg,532 L,€137 /km,"€63,155"
Peugeot,iOn,85 km,101 km,14.5 kWh,1140 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€250 /km,"€21,800"
Lotus,Eletre R,455 km,559 km,109.0 kWh,2725 kg,2.9 sec,240 Wh/km,5,F,259 kW,2250 kg,657 L,€326 /km,"€151,990"
Smart,#1 Pro,250 km,280 km,47.0 kWh,1855 kg,6.7 sec,188 Wh/km,5,B,65 kW,0 kg,338 L,€147 /km,"€37,490"
Toyota,bZ4X FWD 57.7 kWh (MY25),305 km,343 km,54.0 kWh,1945 kg,8.6 sec,177 Wh/km,5,C,85 kW,750 kg,452 L,€141 /km,"€42,990"
Volkswagen,ID.5 GTX (MY26),445 km,500 km,79.0 kWh,2233 kg,5.4 sec,178 Wh/km,5,C,135 kW,1800 kg,549 L,€128 /km,"€58,755"
Peugeot,e-308 SW 58 kWh (MY26),340 km,347 km,55.4 kWh,1783 kg,9.5 sec,163 Wh/km,5,C,65 kW,0 kg,505 L,€113 /km,N/A
Volkswagen,e-Up!,95 km,104 km,16.0 kWh,1214 kg,12.4 sec,168 Wh/km,4,A,30 kW,0 kg,250 L,€269 /km,"€26,900"
Tesla,Model S Standard Range,420 km,416 km,72.5 kWh,2183 kg,4.2 sec,173 Wh/km,5,F,80 kW,0 kg,894 L,€201 /km,"€86,800"
MG,MG5 EV Long Range,340 km,309 km,57.4 kWh,1625 kg,7.7 sec,169 Wh/km,5,C,53 kW,0 kg,464 L,€98 /km,N/A
Mercedes-Benz,EQS AMG 53 4MATIC+,540 km,591 km,107.8 kWh,2655 kg,3.4 sec,200 Wh/km,5,F,173 kW,750 kg,610 L,€320 /km,"€155,009"
Audi,e-tron S,320 km,332 km,86.5 kWh,2730 kg,4.5 sec,270 Wh/km,5,E,146 kW,1800 kg,660 L,€294 /km,"€93,800"
Porsche,Taycan Turbo GT Weissach,475 km,609 km,97.0 kWh,2295 kg,2.2 sec,204 Wh/km,2,F,262 kW,0 kg,451 L,€494 /km,"€240,000"
Ford,e-Tourneo Custom L2 210 kW,235 km,233 km,64.0 kWh,2602 kg,8.0 sec,272 Wh/km,8,N,70 kW,2000 kg,672 L,€326 /km,"€76,517"
Mercedes-Benz,EQE 500 4MATIC (MY23),505 km,555 km,90.6 kWh,2485 kg,4.7 sec,179 Wh/km,5,E,141 kW,750 kg,430 L,€200 /km,"€88,215"
Hongqi,E-HS7 111 kWh Long Range,455 km,535 km,95.3 kWh,2458 kg,6.3 sec,209 Wh/km,5,E,210 kW,1500 kg,705 L,€121 /km,N/A
VinFast,VF 8 Eco Extended Range,405 km,416 km,87.7 kWh,2530 kg,5.9 sec,217 Wh/km,5,D,120 kW,1800 kg,376 L,€128 /km,"€52,990"
Renault,Megane E-Tech EV60 130hp,380 km,410 km,60.0 kWh,1699 kg,10.5 sec,158 Wh/km,5,C,87 kW,500 kg,440 L,€111 /km,"€47,000"
Polestar,2 Long Range Performance (MY23),385 km,409 km,75.0 kWh,2188 kg,4.4 sec,195 Wh/km,5,D,108 kW,1500 kg,440 L,€162 /km,"€61,495"
Škoda,Enyaq RS (MY24),435 km,480 km,77.0 kWh,2251 kg,5.5 sec,177 Wh/km,5,C,120 kW,1200 kg,585 L,€140 /km,"€61,050"
Opel,Mokka-e 54 kWh,290 km,304 km,50.8 kWh,1598 kg,9.0 sec,175 Wh/km,5,B,85 kW,0 kg,310 L,€144 /km,"€44,720"
Abarth,600e Scorpionissima,280 km,293 km,50.8 kWh,1700 kg,5.9 sec,181 Wh/km,5,B,79 kW,0 kg,360 L,€172 /km,"€48,990"
Lancia,Ypsilon 54 kWh (MY25),325 km,350 km,50.8 kWh,1561 kg,8.2 sec,156 Wh/km,5,B,85 kW,0 kg,309 L,€104 /km,N/A
Lucid,Air Touring (MY26),600 km,698 km,96.0 kWh,2337 kg,3.6 sec,160 Wh/km,5,F,160 kW,0 kg,910 L,€169 /km,"€99,900"
Opel,Combo-e Life 50 kWh,205 km,221 km,46.3 kWh,1739 kg,11.7 sec,226 Wh/km,7,N,78 kW,750 kg,571 L,€198 /km,"€43,050"
Mercedes-Benz,EQE 350+ (MY23),530 km,579 km,90.6 kWh,2360 kg,6.4 sec,171 Wh/km,5,E,141 kW,750 kg,430 L,€155 /km,N/A
Mercedes-Benz,EQS SUV 450+,540 km,559 km,118.0 kWh,2730 kg,6.8 sec,219 Wh/km,7,F,160 kW,750 kg,645 L,€219 /km,"€110,801"
Volvo,EX40 Single Motor (MY26),345 km,383 km,67.0 kWh,2040 kg,7.3 sec,194 Wh/km,5,C,110 kW,1500 kg,441 L,€141 /km,"€49,990"
Lotus,Eletre 600,495 km,604 km,109.0 kWh,2565 kg,4.5 sec,220 Wh/km,5,F,259 kW,2250 kg,657 L,€203 /km,"€99,990"
Smart,#3 Pro+,355 km,397 km,62.0 kWh,1855 kg,5.8 sec,175 Wh/km,5,B,110 kW,1600 kg,385 L,€120 /km,"€43,490"
Škoda,Enyaq Coupe 60 (MY25),370 km,429 km,59.0 kWh,2006 kg,8.1 sec,159 Wh/km,5,C,110 kW,1000 kg,570 L,€124 /km,"€46,850"
Škoda,Enyaq Coupe RS (MY25),470 km,534 km,79.0 kWh,2239 kg,5.4 sec,168 Wh/km,5,C,135 kW,1200 kg,570 L,€129 /km,"€60,850"
Zeekr,X Core RWD (MY25),270 km,294 km,49.0 kWh,1930 kg,5.9 sec,181 Wh/km,5,B,70 kW,1600 kg,362 L,€144 /km,N/A
Volvo,EX90 Twin Motor Performance (MY26),465 km,547 km,102.0 kWh,2725 kg,4.2 sec,219 Wh/km,7,F,200 kW,2200 kg,703 L,€216 /km,"€101,290"
Hyundai,Kona Electric 39 kWh,245 km,223 km,39.2 kWh,1610 kg,9.9 sec,160 Wh/km,5,B,37 kW,0 kg,361 L,€145 /km,"€34,850"
Volvo,C40 Recharge Single Motor ER (MY24),420 km,459 km,79.0 kWh,2095 kg,7.3 sec,188 Wh/km,5,C,125 kW,1500 kg,450 L,€128 /km,"€54,450"
Mercedes-Benz,eVito Tourer Long 90 kWh,325 km,299 km,90.0 kWh,2561 kg,12.1 sec,277 Wh/km,8,N,96 kW,0 kg,990 L,€241 /km,"€72,043"
Škoda,Enyaq iV 50 (MY21-23),305 km,271 km,52.0 kWh,1937 kg,11.3 sec,170 Wh/km,5,C,45 kW,0 kg,585 L,€131 /km,"€39,900"
Ford,Mustang Mach-E ER AWD (MY23),440 km,410 km,91.0 kWh,2257 kg,5.8 sec,207 Wh/km,5,D,86 kW,1500 kg,619 L,€169 /km,"€77,200"
BMW,i5 xDrive40 Sedan,455 km,522 km,81.2 kWh,2355 kg,5.4 sec,178 Wh/km,5,E,136 kW,2000 kg,490 L,€172 /km,"€75,600"
Polestar,2 Standard Range Single Motor (MY25),405 km,460 km,67.0 kWh,2020 kg,6.4 sec,165 Wh/km,5,D,110 kW,1500 kg,448 L,€120 /km,"€48,990"
Aiways,U6,350 km,349 km,60.0 kWh,1790 kg,7.0 sec,171 Wh/km,5,C,78 kW,unknown,472 L,€138 /km,"€47,588"
Volkswagen,ID.4 GTX,400 km,434 km,77.0 kWh,2224 kg,6.2 sec,193 Wh/km,5,C,115 kW,1200 kg,543 L,€135 /km,"€50,415"
Opel,Vivaro-e Combi M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,507 L,€215 /km,"€56,942"
Fiat,500e 3+1 24 kWh,135 km,153 km,21.3 kWh,1290 kg,9.0 sec,158 Wh/km,4,B,40 kW,0 kg,185 L,€222 /km,N/A
Volkswagen,ID.3 Pro S - 4 Seats,455 km,499 km,77.0 kWh,1933 kg,7.9 sec,169 Wh/km,4,C,120 kW,0 kg,385 L,€108 /km,"€47,595"
Volvo,C40 Recharge Twin Pure Electric (MY22),360 km,379 km,75.0 kWh,2185 kg,4.7 sec,208 Wh/km,5,C,108 kW,1800 kg,450 L,€170 /km,"€57,650"
Porsche,Taycan 4S,490 km,611 km,82.3 kWh,2245 kg,3.7 sec,168 Wh/km,5,F,195 kW,0 kg,491 L,€244 /km,"€120,900"
Ford,Capri Standard Range RWD,320 km,357 km,52.0 kWh,1914 kg,9.0 sec,163 Wh/km,5,D,85 kW,1000 kg,572 L,€141 /km,"€44,950"
Polestar,2 Long Range Performance (MY26),450 km,507 km,79.0 kWh,2180 kg,4.2 sec,176 Wh/km,5,D,125 kW,1500 kg,448 L,€142 /km,"€63,490"
Opel,Mokka-e,255 km,275 km,46.3 kWh,1598 kg,9.0 sec,182 Wh/km,5,B,78 kW,0 kg,310 L,€135 /km,"€34,110"
Citroën,ë-C4,280 km,311 km,46.3 kWh,1616 kg,9.7 sec,165 Wh/km,5,C,78 kW,0 kg,380 L,€124 /km,"€34,640"
Hyundai,IONIQ 5 Project 45 (MY21),365 km,452 km,70.0 kWh,2095 kg,5.2 sec,192 Wh/km,5,C,185 kW,1600 kg,555 L,€159 /km,"€59,550"
Genesis,G80 Electrified Luxury (MY22-24),440 km,507 km,82.5 kWh,2325 kg,4.9 sec,188 Wh/km,5,F,160 kW,unknown,354 L,€170 /km,"€69,200"
Volvo,EC40 Single Motor (MY25),360 km,399 km,67.0 kWh,2057 kg,7.3 sec,186 Wh/km,5,C,110 kW,1500 kg,435 L,€152 /km,"€52,690"
Opel,Grandland Electric 82 kWh,420 km,433 km,82.2 kWh,2195 kg,9.0 sec,196 Wh/km,5,C,100 kW,1200 kg,550 L,€122 /km,"€51,950"
Ford,Mustang Mach-E SR RWD (MY25),380 km,408 km,72.6 kWh,2175 kg,6.2 sec,191 Wh/km,5,D,100 kW,750 kg,619 L,€136 /km,"€56,500"
Volkswagen,ID.4 Pro 4MOTION (MY26),435 km,477 km,77.0 kWh,2231 kg,6.6 sec,177 Wh/km,5,C,120 kW,1200 kg,543 L,€117 /km,"€49,020"
Volvo,XC40 Recharge Twin Pure Electric (MY23),350 km,368 km,75.0 kWh,2188 kg,4.9 sec,214 Wh/km,5,C,108 kW,1800 kg,450 L,€171 /km,"€56,150"
Peugeot,e-3008 73 kWh Dual Motor,365 km,388 km,73.0 kWh,2337 kg,6.0 sec,200 Wh/km,5,C,90 kW,1350 kg,588 L,€166 /km,"€60,000"
Citroën,ë-C4 X,290 km,317 km,46.3 kWh,1659 kg,9.9 sec,160 Wh/km,5,C,78 kW,0 kg,510 L,€115 /km,"€32,600"
Kia,e-Niro 39 kWh,235 km,215 km,39.2 kWh,1667 kg,9.8 sec,167 Wh/km,5,C,37 kW,0 kg,451 L,€159 /km,"€38,290"
Volkswagen,ID.5 Pro Performance,430 km,459 km,77.0 kWh,2117 kg,8.4 sec,179 Wh/km,5,C,125 kW,1000 kg,549 L,€122 /km,"€47,550"
Škoda,Enyaq Coupe iV RS (MY22-23),430 km,471 km,77.0 kWh,2253 kg,6.5 sec,179 Wh/km,5,C,115 kW,1200 kg,575 L,€146 /km,"€63,300"
Mini,Aceman JCW,280 km,294 km,49.2 kWh,1825 kg,6.4 sec,176 Wh/km,5,B,75 kW,750 kg,300 L,€170 /km,"€43,150"
Lotus,Emeya 600,520 km,665 km,98.9 kWh,2555 kg,4.2 sec,190 Wh/km,5,F,240 kW,2250 kg,543 L,€204 /km,"€107,990"
Lotus,Eletre 900,455 km,559 km,109.0 kWh,2725 kg,2.9 sec,240 Wh/km,5,F,259 kW,2250 kg,657 L,€327 /km,"€145,990"
Renault,Zoe Q90,245 km,224 km,41.0 kWh,1555 kg,13.5 sec,167 Wh/km,5,B,33 kW,0 kg,338 L,€126 /km,N/A
Mercedes-Benz,eVito Tourer Extra-Long 90 kWh,305 km,279 km,90.0 kWh,2555 kg,12.0 sec,295 Wh/km,9,N,96 kW,0 kg,1390 L,€264 /km,"€65,140"
Mercedes-Benz,EQE SUV 500 4MATIC (MY23),435 km,468 km,90.6 kWh,2560 kg,4.9 sec,208 Wh/km,5,E,141 kW,1800 kg,520 L,€262 /km,"€99,841"
GWM,ORA 03 63 kWh,340 km,313 km,59.3 kWh,1615 kg,8.2 sec,174 Wh/km,5,C,55 kW,0 kg,228 L,€107 /km,"€32,490"
Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,385 km,381 km,87.0 kWh,2277 kg,5.0 sec,226 Wh/km,5,C,110 kW,unknown,415 L,€164 /km,"€63,990"
Cadillac,VISTIQ 900 E4 (MY26),375 km,365 km,91.0 kWh,2899 kg,4.1 sec,243 Wh/km,7,F,100 kW,2000 kg,297 L,€290 /km,"€108,809"
Porsche,Taycan Plus,475 km,605 km,83.7 kWh,2205 kg,5.4 sec,176 Wh/km,5,F,216 kW,0 kg,491 L,€200 /km,"€94,123"
Mercedes-Benz,EQA 250+,420 km,414 km,70.5 kWh,2045 kg,8.6 sec,168 Wh/km,5,C,90 kW,750 kg,340 L,€129 /km,"€52,205"
Hongqi,E-HS9 120 kWh,455 km,418 km,112.0 kWh,2850 kg,4.9 sec,246 Wh/km,5,F,110 kW,1500 kg,438 L,€187 /km,N/A
